[GIN] 2026/06/11 - 15:53:39 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/06/11 - 15:53:39 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 15:53:39 | 200 |      1.0035ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/11 - 15:54:00 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 15:58:10 | 200 |         4m10s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/06/11 - 15:58:34 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 15:58:34 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/06/11 - 15:58:34 | 200 |      6.3357ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/11 - 16:01:34 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 16:01:34 | 200 |            0s |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/11 - 16:01:35 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/06/11 - 16:04:05 | 500 |          2m3s |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/06/11 - 16:04:58 | 500 |   54.9068476s |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/06/11 - 16:05:23 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 16:05:23 | 200 |     16.8832ms |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/06/11 - 16:06:51 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 16:06:51 | 200 |       9.613ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/06/11 - 16:06:51 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/06/11 - 16:06:51 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/06/11 - 16:09:17 | 500 |          2m0s |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2026/06/11 - 16:11:10 | 500 |         1m52s |       127.0.0.1 | POST     "/v1/chat/completions"
